timestamp,OSCaddress,typetag
0,/sometarget,isfsf,16,sometext,16.0,sometext,16.0
351,/sometarget,ssfsd,sometext,sometext,16.0,sometext,16.0
966,/sometarget,disdf,16.0,16,sometext,16.0,16.0
1534,/sometarget,dsfii,16.0,sometext,16.0,16,16
2018,/sometarget,sfddd,sometext,16.0,16.0,16.0,16.0
2468,/sometarget,fsfsi,16.0,sometext,16.0,sometext,16
2800,/sometarget,fdiss,16.0,16.0,16,sometext,sometext
3001,/sometarget,ssfsi,sometext,sometext,16.0,sometext,16
3219,/sometarget,fsisf,16.0,sometext,16,sometext,16.0
3349,/sometarget,fiddd,16.0,16,16.0,16.0,16.0
3550,/sometarget,iffsi,16,16.0,16.0,sometext,16
3719,/sometarget,sfdds,sometext,16.0,16.0,16.0,sometext
3919,/sometarget,fssdd,16.0,sometext,sometext,16.0,16.0
4100,/sometarget,fdidd,16.0,16.0,16,16.0,16.0
4283,/sometarget,ddisi,16.0,16.0,16,sometext,16
4467,/sometarget,sfffi,sometext,16.0,16.0,16.0,16
4651,/sometarget,fdisd,16.0,16.0,16,sometext,16.0
4817,/sometarget,fifdf,16.0,16,16.0,16.0,16.0
4983,/sometarget,dsfid,16.0,sometext,16.0,16,16.0
5017,/sometarget,ffdii,16.0,16.0,16.0,16,16
5150,/sometarget,sssdd,sometext,sometext,sometext,16.0,16.0
5332,/sometarget,iifdd,16,16,16.0,16.0,16.0
5651,/sometarget,fiifs,16.0,16,16,16.0,sometext
5815,/sometarget,sfssf,sometext,16.0,sometext,sometext,16.0
5984,/sometarget,diifs,16.0,16,16,16.0,sometext
6133,/sometarget,dfsif,16.0,16.0,sometext,16,16.0
6302,/sometarget,dfiff,16.0,16.0,16,16.0,16.0
