timestamp,OSCaddress,typetag
0,/someoscaddress,ifsd,16,16.333,some text,16.333
450,/someoscaddress,ifsd,16,16.333,some text,16.333
997,/someoscaddress,ifsd,16,16.333,some text,16.333
1167,/someoscaddress,ifsd,16,16.333,some text,16.333
1354,/someoscaddress,ifsd,16,16.333,some text,16.333
1525,/someoscaddress,ifsd,16,16.333,some text,16.333
2001,/someoscaddress,ifsd,16,16.333,some text,16.333
2195,/someoscaddress,ifsd,16,16.333,some text,16.333
2363,/someoscaddress,ifsd,16,16.333,some text,16.333
2545,/someoscaddress,ifsd,16,16.333,some text,16.333
2717,/someoscaddress,ifsd,16,16.333,some text,16.333
2899,/someoscaddress,ifsd,16,16.333,some text,16.333
3065,/someoscaddress,ifsd,16,16.333,some text,16.333
3241,/someoscaddress,ifsd,16,16.333,some text,16.333
3419,/someoscaddress,ifsd,16,16.333,some text,16.333
3603,/someoscaddress,ifsd,16,16.333,some text,16.333
3761,/someoscaddress,ifsd,16,16.333,some text,16.333
3943,/someoscaddress,ifsd,16,16.333,some text,16.333
4131,/someoscaddress,ifsd,16,16.333,some text,16.333
4479,/someoscaddress,ifsd,16,16.333,some text,16.333
4655,/someoscaddress,ifsd,16,16.333,some text,16.333
4817,/someoscaddress,ifsd,16,16.333,some text,16.333
4981,/someoscaddress,ifsd,16,16.333,some text,16.333
5141,/someoscaddress,ifsd,16,16.333,some text,16.333
5279,/someoscaddress,ifsd,16,16.333,some text,16.333
5417,/someoscaddress,ifsd,16,16.333,some text,16.333
5565,/someoscaddress,ifsd,16,16.333,some text,16.333
